Years;Cluster Id;Cluster generic legend;Cluster specific legend;Terms id;Pseudo-Inclusion;Cluster Size;Density;Number of fathers;Number of sons 
291 304;3848;180;1863;180 745 826 1863 1895 1947 2257;1;1;1;1;5 
291 304;3857;121;730;121 179 195 730;1;1;1;0;1 
291 304;3898;251;1710;251 1179 1710 2217;1;1;1;0;1 
291 304;3991;367;1265;181 367 1265 1896;1;1;1;0;1 
291 304;4028;430;1022;430 1022 1123 1168 1189;1;1;1;1;0 
291 304;4035;434;1375;267 287 434 1058 1375;1;1;1;0;1 
291 304;4050;20;457;20 454 457 1485 1858;1;1;1;0;1 
291 304;4051;20;2083;20 457 1239 2083;1;1;1;0;1 
291 304;4068;477;846;477 716 846 1807;1;1;1;1;0 
291 304;4084;1722;492;109 483 492 1722;1;1;1;1;0 
291 304;4122;534;1350;534 1104 1261 1350;1;1;1;0;1 
291 304;4213;655;2220;655 1179 2217 2220;1;1;1;0;1 
291 304;4262;574;1374;574 707 1374 1890;1;1;1;1;0 
291 304;4277;704;1115;704 719 1024 1115 2203;1;1;1;1;0 
291 304;4301;1427;2212;87 507 665 746 1233 1427 2212;1;1;1;1;1 
291 304;4303;15;2122;15 492 747 1165 2122;1;1;1;0;1 
291 304;4314;422;720;422 720 757 1240 2172;1;1;1;0;1 
291 304;4328;763;1051;763 1051 1127 1315;1;1;1;0;1 
291 304;4334;518;485;37 123 313 335 406 485 494 517 518 539 587 650 766 1034 1071 1232 1392 1461 1595 1599 1640 1720 1763 1891 1937 1971 2015 2080 2171 2248;1;1;1;2;0 
291 304;4357;1468;2027;299 809 952 1468 1850 2027;1;1;1;1;1 
291 304;4363;2135;828;611 822 828 2135;1;1;1;0;2 
291 304;4387;1990;850;338 751 850 854 1615 1990;1;1;1;1;0 
291 304;4406;85;1921;85 204 885 1921;1;1;1;0;1 
291 304;4409;889;177;177 716 889 1807 2198;1;1;1;1;0 
291 304;4424;911;1242;911 1179 1242 2217;1;1;1;1;1 
291 304;4433;1662;259;259 421 921 1662;1;1;1;0;2 
291 304;4441;2135;828;41 611 824 828 925 2135;1;1;1;0;3 
291 304;4447;939;2217;939 1179 1960 2217;1;1;1;0;1 
291 304;4517;1720;1235;939 1034 1039 1235 1454 1720;1;1;1;2;0 
291 304;4519;1718;988;988 1039 1718 1837;1;1;1;1;0 
291 304;4522;156;1042;156 369 594 1042;1;1;1;0;1 
291 304;4549;121;1069;121 179 730 1069;1;1;1;0;4 
291 304;4576;1096;1265;334 867 1096 1265;1;1;1;0;1 
291 304;4602;1129;57;57 1104 1129 1261 1350;1;1;1;0;2 
291 304;4622;492;2122;492 1159 1165 2122;1;1;1;0;2 
291 304;4647;57;1350;57 1104 1198 1261 1350;1;1;1;0;1 
291 304;4693;1240;988;988 1227 1240 1837;1;1;1;1;0 
291 304;4702;1246;1863;1246 1863 1895 1947 2257;1;1;1;0;1 
291 304;4741;1278;1759;144 716 1229 1278 1759 1814;1;1;1;1;0 
291 304;4745;1278;144;144 177 256 1278;1;1;1;1;3 
291 304;4781;406;696;264 406 696 1301;1;1;1;1;0 
291 304;4783;406;973;406 785 973 974 1301;1;1;1;1;0 
291 304;4817;1325;1921;85 204 1325 1921;1;1;1;0;1 
291 304;4830;1369;1881;66 594 1369 1881;1;1;1;0;1 
291 304;4835;1385;2045;134 207 447 1385 1404 1639 1648 2045 2206;1;1;1;1;0 
291 304;4857;1406;316;316 576 828 1406;1;1;1;0;1 
291 304;4880;1427;1752;229 507 1316 1427 1567 1752;1;1;1;2;0 
291 304;4890;395;1432;395 410 683 1432;1;1;1;0;1 
291 304;4922;1483;32;32 1408 1483 1573;1;1;1;0;1 
291 304;4923;1483;44;44 1483 1679 1698;1;1;1;0;1 
291 304;4924;126;1858;454 563 1485 1858;1;1;1;0;1 
291 304;4932;1497;1151;43 966 1151 1452 1497 2233;1;1;1;0;2 
291 304;4944;1038;1569;1038 1436 1511 1569;1;1;1;0;1 
291 304;4971;1553;2259;315 889 1553 1807 2259;1;1;1;1;0 
291 304;4996;1572;1189;457 1022 1189 1386 1572 2285;1;1;1;1;0 
291 304;5001;121;1585;121 179 730 1585;1;1;1;0;1 
291 304;5020;1272;5;5 191 324 1123 1272 1619 2023;1;1;1;1;0 
291 304;5030;1628;918;730 918 1531 1628;1;1;1;0;1 
291 304;5031;1628;918;179 730 918 1628;1;1;1;0;1 
291 304;5054;1924;259;259 1662 1924 1984 2256;1;1;1;1;0 
291 304;5067;121;1672;121 179 730 1672;1;1;1;0;1 
291 304;5069;1680;1165;278 462 1165 1675 1680 1804;1;1;1;2;0 
291 304;5090;1712;1261;1261 1280 1662 1712;1;1;1;1;0 
291 304;5102;1722;492;67 492 1524 1722 1850;1;1;1;1;0 
291 304;5111;745;1863;745 1732 1863 1947;1;1;1;1;0 
291 304;5129;2135;828;824 828 1218 1764 2135;1;1;1;0;1 
291 304;5138;1774;988;988 1039 1774 1863;1;1;1;1;0 
291 304;5146;1038;1778;1038 1436 1569 1778;1;1;1;0;2 
291 304;5147;1990;2044;582 854 1778 1951 1990 2044;1;1;1;0;1 
291 304;5185;1429;1224;488 721 1224 1429 1817;1;1;1;0;1 
291 304;5189;1825;939;939 1179 1454 1825 2217;1;1;1;0;1 
291 304;5212;130;1850;130 476 1213 1311 1850;1;1;1;0;1 
291 304;5214;1722;492;492 1722 1850 2122;1;1;1;1;1 
291 304;5225;1874;1;1 531 966 1874 2233;1;1;1;1;6 
291 304;5230;1344;2004;24 255 414 1344 1660 1875 1876 1985 2004 2172;1;1;1;2;0 
291 304;5264;1905;378;378 966 1905 2233;1;1;1;0;1 
291 304;5296;1935;884;5 884 1123 1935;1;1;1;1;2 
291 304;5367;2029;665;665 1233 2006 2029;1;1;1;0;1 
291 304;5416;2067;1756;152 314 790 1756 2067;1;1;1;1;0 
291 304;5427;1123;5;5 1123 1619 2023 2075;1;1;1;0;2 
291 304;5438;259;2091;194 259 1662 2091 2093;1;1;1;1;0 
291 304;5440;2093;259;259 1662 2093 2256;1;1;1;1;1 
291 304;5465;1444;717;717 1132 1444 2119;1;1;1;1;0 
